route,bound,seg_idx,stop_from_seq,stop_to_seq,stop_from_id,stop_to_id,edge_from,edge_to,kmb_len_m,bus_len_m,excess_m,ratio
960,inbound,16,17,18,B3B160F8F8017035,6AE148CA74FC4D53,94968_rev,94457,396.6,814.0,417.4,2.052
960,inbound,17,18,19,6AE148CA74FC4D53,C192BEF2264E0CC6,94457,97018,164.8,3895.1,3730.3,23.63
960,inbound,18,19,20,C192BEF2264E0CC6,542CC0EC83BAEA01,97018,94642,646.2,1412.8,766.6,2.186
960,inbound,19,20,21,542CC0EC83BAEA01,840532B7C95DF870,94642,94266,430.0,1775.4,1345.3,4.128
960,inbound,20,21,22,840532B7C95DF870,315BE0CA231DCD4F,94266,94664_rev,396.4,904.4,507.9,2.281
960,outbound,1,2,3,ECE3F3BE270C27E2,594A765BE3A43C73,94236_rev,94664_rev,503.9,676.1,172.1,1.342
960,outbound,2,3,4,594A765BE3A43C73,507D90B4B976DBD6,94664_rev,94266,285.3,990.5,705.2,3.472
960,outbound,3,4,5,507D90B4B976DBD6,1F6BFDF34BABCE6A,94266,94642,417.1,796.2,379.1,1.909
960,outbound,4,5,6,1F6BFDF34BABCE6A,19B569A51034271F,94642,97018,577.5,752.8,175.3,1.303
960,outbound,5,6,7,19B569A51034271F,1AD9C759A42F9003,97018,94457,228.9,1098.4,869.5,4.798
960,outbound,6,7,8,1AD9C759A42F9003,EB64718829DFC071,94457,94968_rev,318.5,722.4,403.8,2.268
960,outbound,7,8,9,EB64718829DFC071,92A8D40E66E76F6B,94968_rev,96999,364.4,2726.6,2362.3,7.483
960,outbound,8,9,10,92A8D40E66E76F6B,DD56DC2336C878C1,96999,96344,1062.5,666.4,-396.2,0.627
960,outbound,9,10,11,DD56DC2336C878C1,8121695666A4D9CE,96344,93953_rev,899.5,1028.4,128.9,1.143
960,outbound,10,11,12,8121695666A4D9CE,C2787E27F82716BF,93953_rev,96965,276.6,616.3,339.6,2.228
960,outbound,11,12,13,C2787E27F82716BF,376C4835851621D4,96965,97116,5651.6,6031.2,379.6,1.067
960,outbound,13,14,15,ACB5FEA2BF9FC5AD,72F743E4D464E498,97116,106944_rev,20953.9,24352.5,3398.6,1.162
960,outbound,14,15,16,72F743E4D464E498,25D811895B82ABCA,106944_rev,2468_rev,3326.9,2722.2,-604.8,0.818
960,outbound,15,16,17,25D811895B82ABCA,709C8604AFB90F27,2468_rev,513,487.5,388.8,-98.7,0.797
960,outbound,16,17,18,709C8604AFB90F27,8379C4B1265C27F7,513,2480,1218.9,480.8,-738.1,0.394
960,outbound,17,18,19,8379C4B1265C27F7,C804CCACB2781EEE,2480,2448,642.4,520.2,-122.2,0.81
960,outbound,18,19,20,C804CCACB2781EEE,AD1B202B678A3B56,2448,4202_rev,729.6,873.6,144.1,1.197
960,outbound,19,20,21,AD1B202B678A3B56,B30799FB3732222B,4202_rev,3895,524.6,575.2,50.7,1.097
960,outbound,20,21,22,B30799FB3732222B,ADC51A7EEEE43D6F,3895,4287,681.9,1743.3,1061.4,2.557
